Date,Wind_Total Generation,Solar_Total Generation,System Load
2017-08-30,333,,7252
2017-08-31,767,,7291
2017-09-01,277,,7090
2017-09-02,559,,6896
2017-09-03,298,,6694
2017-09-04,101,,6750
2017-09-05,339,,7124
2017-09-06,60,,7193
2017-09-07,285,,7319
2017-09-08,462,,7250
2017-09-09,667,,6776
2017-09-10,670,,6628
2017-09-11,947,,7159
2017-09-12,418,,6960
2017-09-13,319,,6914
2017-09-14,87,,7009
2017-09-15,29,,6873
2017-09-16,413,,6557
2017-09-17,587,,6505
2017-09-18,707,,6928
2017-09-19,726,,7013
2017-09-20,864,,6880
2017-09-21,402,,6954
2017-09-22,55,,6919
2017-09-23,55,,6597
2017-09-24,208,,6542
2017-09-25,221,,6895
2017-09-26,270,,6864
2017-09-27,135,,6966
2017-09-28,299,,6946
2017-09-29,781,,6925
2017-09-30,1019,,6620
2017-10-01,845,,6569
2017-10-02,899,,6787
2017-10-03,361,,6689
2017-10-04,167,,6793
2017-10-05,356,,6855
2017-10-06,1109,,6831
2017-10-07,810,,6626
2017-10-08,515,,6630
2017-10-09,865,,6620
2017-10-10,495,,6919
2017-10-11,351,,6997
2017-10-12,230,,7022
2017-10-13,73,,7048
2017-10-14,1027,,6811
2017-10-15,1154,,6632
2017-10-16,1127,,6985
2017-10-17,989,,6808
2017-10-18,909,,6760
2017-10-19,871,,6812
2017-10-20,743,,6904
2017-10-21,951,,6638
2017-10-22,1147,,6617
2017-10-23,1062,,6870
2017-10-24,1193,,6860
2017-10-25,1041,,6950
2017-10-26,400,,7005
2017-10-27,323,,6899
2017-10-28,919,,6637
2017-10-29,787,,6778
2017-10-30,307,,7173
2017-10-31,648,,7136
2017-11-01,384,,7380
2017-11-02,555,,7528
2017-11-03,544,,7564
2017-11-04,104,,7353
2017-11-05,157,,7362
2017-11-06,496,,7643
2017-11-07,565,,7633
2017-11-08,59,,7619
2017-11-09,580,,7728
2017-11-10,621,,7540
2017-11-11,547,,7223
2017-11-12,776,,7208
2017-11-13,843,,7605
2017-11-14,531,,7708
2017-11-15,548,,7830
2017-11-16,485,,7759
2017-11-17,439,,7761
2017-11-18,1063,,7440
2017-11-19,993,,7259
2017-11-20,540,,7608
2017-11-21,412,,7770
2017-11-22,930,,7557
2017-11-23,949,,7414
2017-11-24,1057,,7358
2017-11-25,925,,7164
